d0, d1, d2, d3, d4, d5, d6, d7, d8, d9, D.V.
938.74997, 936.47397, 924.44197, 912.87498, 895.67598, 886.89998, 873.52498, 863.03997, 843.89798, 826.83897, 811.63994
936.47397, 924.44197, 912.87498, 895.67598, 886.89998, 873.52498, 863.03997, 843.89798, 826.83897, 811.63994, 797.92192
924.44197, 912.87498, 895.67598, 886.89998, 873.52498, 863.03997, 843.89798, 826.83897, 811.63994, 797.92192, 786.41891
912.87498, 895.67598, 886.89998, 873.52498, 863.03997, 843.89798, 826.83897, 811.63994, 797.92192, 786.41891, 771.09691
895.67598, 886.89998, 873.52498, 863.03997, 843.89798, 826.83897, 811.63994, 797.92192, 786.41891, 771.09691, 763.19992
886.89998, 873.52498, 863.03997, 843.89798, 826.83897, 811.63994, 797.92192, 786.41891, 771.09691, 763.19992, 754.0589
873.52498, 863.03997, 843.89798, 826.83897, 811.63994, 797.92192, 786.41891, 771.09691, 763.19992, 754.0589, 748.89689
863.03997, 843.89798, 826.83897, 811.63994, 797.92192, 786.41891, 771.09691, 763.19992, 754.0589, 748.89689, 744.42189
843.89798, 826.83897, 811.63994, 797.92192, 786.41891, 771.09691, 763.19992, 754.0589, 748.89689, 744.42189, 749.42486
826.83897, 811.63994, 797.92192, 786.41891, 771.09691, 763.19992, 754.0589, 748.89689, 744.42189, 749.42486, 755.35587
811.63994, 797.92192, 786.41891, 771.09691, 763.19992, 754.0589, 748.89689, 744.42189, 749.42486, 755.35587, 763.64889
797.92192, 786.41891, 771.09691, 763.19992, 754.0589, 748.89689, 744.42189, 749.42486, 755.35587, 763.64889, 777.92191
786.41891, 771.09691, 763.19992, 754.0589, 748.89689, 744.42189, 749.42486, 755.35587, 763.64889, 777.92191, 798.31491
771.09691, 763.19992, 754.0589, 748.89689, 744.42189, 749.42486, 755.35587, 763.64889, 777.92191, 798.31491, 824.13991
763.19992, 754.0589, 748.89689, 744.42189, 749.42486, 755.35587, 763.64889, 777.92191, 798.31491, 824.13991, 841.50792
754.0589, 748.89689, 744.42189, 749.42486, 755.35587, 763.64889, 777.92191, 798.31491, 824.13991, 841.50792, 854.16393
748.89689, 744.42189, 749.42486, 755.35587, 763.64889, 777.92191, 798.31491, 824.13991, 841.50792, 854.16393, 863.93593
744.42189, 749.42486, 755.35587, 763.64889, 777.92191, 798.31491, 824.13991, 841.50792, 854.16393, 863.93593, 878.18192
749.42486, 755.35587, 763.64889, 777.92191, 798.31491, 824.13991, 841.50792, 854.16393, 863.93593, 878.18192, 887.49193
755.35587, 763.64889, 777.92191, 798.31491, 824.13991, 841.50792, 854.16393, 863.93593, 878.18192, 887.49193, 887.50194
763.64889, 777.92191, 798.31491, 824.13991, 841.50792, 854.16393, 863.93593, 878.18192, 887.49193, 887.50194, 883.82694
777.92191, 798.31491, 824.13991, 841.50792, 854.16393, 863.93593, 878.18192, 887.49193, 887.50194, 883.82694, 884.96694
798.31491, 824.13991, 841.50792, 854.16393, 863.93593, 878.18192, 887.49193, 887.50194, 883.82694, 884.96694, 884.74694
824.13991, 841.50792, 854.16393, 863.93593, 878.18192, 887.49193, 887.50194, 883.82694, 884.96694, 884.74694, 883.38493
841.50792, 854.16393, 863.93593, 878.18192, 887.49193, 887.50194, 883.82694, 884.96694, 884.74694, 883.38493, 886.67493
854.16393, 863.93593, 878.18192, 887.49193, 887.50194, 883.82694, 884.96694, 884.74694, 883.38493, 886.67493, 892.97793
863.93593, 878.18192, 887.49193, 887.50194, 883.82694, 884.96694, 884.74694, 883.38493, 886.67493, 892.97793, 903.20994
878.18192, 887.49193, 887.50194, 883.82694, 884.96694, 884.74694, 883.38493, 886.67493, 892.97793, 903.20994, 906.30596
887.49193, 887.50194, 883.82694, 884.96694, 884.74694, 883.38493, 886.67493, 892.97793, 903.20994, 906.30596, 910.06097
887.50194, 883.82694, 884.96694, 884.74694, 883.38493, 886.67493, 892.97793, 903.20994, 906.30596, 910.06097, 922.53397
883.82694, 884.96694, 884.74694, 883.38493, 886.67493, 892.97793, 903.20994, 906.30596, 910.06097, 922.53397, 934.68597
884.96694, 884.74694, 883.38493, 886.67493, 892.97793, 903.20994, 906.30596, 910.06097, 922.53397, 934.68597, 941.21797
884.74694, 883.38493, 886.67493, 892.97793, 903.20994, 906.30596, 910.06097, 922.53397, 934.68597, 941.21797, 952.82198
883.38493, 886.67493, 892.97793, 903.20994, 906.30596, 910.06097, 922.53397, 934.68597, 941.21797, 952.82198, 962.01099
886.67493, 892.97793, 903.20994, 906.30596, 910.06097, 922.53397, 934.68597, 941.21797, 952.82198, 962.01099, 967.84299
892.97793, 903.20994, 906.30596, 910.06097, 922.53397, 934.68597, 941.21797, 952.82198, 962.01099, 967.84299, 967.933
903.20994, 906.30596, 910.06097, 922.53397, 934.68597, 941.21797, 952.82198, 962.01099, 967.84299, 967.933, 966.962
906.30596, 910.06097, 922.53397, 934.68597, 941.21797, 952.82198, 962.01099, 967.84299, 967.933, 966.962, 966.202
910.06097, 922.53397, 934.68597, 941.21797, 952.82198, 962.01099, 967.84299, 967.933, 966.962, 966.202, 963.869
922.53397, 934.68597, 941.21797, 952.82198, 962.01099, 967.84299, 967.933, 966.962, 966.202, 963.869, 956.667
934.68597, 941.21797, 952.82198, 962.01099, 967.84299, 967.933, 966.962, 966.202, 963.869, 956.667, 953.98
941.21797, 952.82198, 962.01099, 967.84299, 967.933, 966.962, 966.202, 963.869, 956.667, 953.98, 947.185
952.82198, 962.01099, 967.84299, 967.933, 966.962, 966.202, 963.869, 956.667, 953.98, 947.185, 940.074
962.01099, 967.84299, 967.933, 966.962, 966.202, 963.869, 956.667, 953.98, 947.185, 940.074, 933.73
967.84299, 967.933, 966.962, 966.202, 963.869, 956.667, 953.98, 947.185, 940.074, 933.73, 916.053
967.933, 966.962, 966.202, 963.869, 956.667, 953.98, 947.185, 940.074, 933.73, 916.053, 905.632
966.962, 966.202, 963.869, 956.667, 953.98, 947.185, 940.074, 933.73, 916.053, 905.632, 896.086
966.202, 963.869, 956.667, 953.98, 947.185, 940.074, 933.73, 916.053, 905.632, 896.086, 889.996
963.869, 956.667, 953.98, 947.185, 940.074, 933.73, 916.053, 905.632, 896.086, 889.996, 884.523
956.667, 953.98, 947.185, 940.074, 933.73, 916.053, 905.632, 896.086, 889.996, 884.523, 879.027
953.98, 947.185, 940.074, 933.73, 916.053, 905.632, 896.086, 889.996, 884.523, 879.027, 866.604
947.185, 940.074, 933.73, 916.053, 905.632, 896.086, 889.996, 884.523, 879.027, 866.604, 858.088
940.074, 933.73, 916.053, 905.632, 896.086, 889.996, 884.523, 879.027, 866.604, 858.088, 839.121
933.73, 916.053, 905.632, 896.086, 889.996, 884.523, 879.027, 866.604, 858.088, 839.121, 811.321
916.053, 905.632, 896.086, 889.996, 884.523, 879.027, 866.604, 858.088, 839.121, 811.321, 789.883
905.632, 896.086, 889.996, 884.523, 879.027, 866.604, 858.088, 839.121, 811.321, 789.883, 771.349
896.086, 889.996, 884.523, 879.027, 866.604, 858.088, 839.121, 811.321, 789.883, 771.349, 747.66
889.996, 884.523, 879.027, 866.604, 858.088, 839.121, 811.321, 789.883, 771.349, 747.66, 723.231
884.523, 879.027, 866.604, 858.088, 839.121, 811.321, 789.883, 771.349, 747.66, 723.231, 708.932
879.027, 866.604, 858.088, 839.121, 811.321, 789.883, 771.349, 747.66, 723.231, 708.932, 699.162
866.604, 858.088, 839.121, 811.321, 789.883, 771.349, 747.66, 723.231, 708.932, 699.162, 695.76
858.088, 839.121, 811.321, 789.883, 771.349, 747.66, 723.231, 708.932, 699.162, 695.76, 697.67
839.121, 811.321, 789.883, 771.349, 747.66, 723.231, 708.932, 699.162, 695.76, 697.67, 705.156
811.321, 789.883, 771.349, 747.66, 723.231, 708.932, 699.162, 695.76, 697.67, 705.156, 725.197
789.883, 771.349, 747.66, 723.231, 708.932, 699.162, 695.76, 697.67, 705.156, 725.197, 747.561
771.349, 747.66, 723.231, 708.932, 699.162, 695.76, 697.67, 705.156, 725.197, 747.561, 764.543
747.66, 723.231, 708.932, 699.162, 695.76, 697.67, 705.156, 725.197, 747.561, 764.543, 782.065
723.231, 708.932, 699.162, 695.76, 697.67, 705.156, 725.197, 747.561, 764.543, 782.065, 804.045
708.932, 699.162, 695.76, 697.67, 705.156, 725.197, 747.561, 764.543, 782.065, 804.045, 819.743
699.162, 695.76, 697.67, 705.156, 725.197, 747.561, 764.543, 782.065, 804.045, 819.743, 831.079
695.76, 697.67, 705.156, 725.197, 747.561, 764.543, 782.065, 804.045, 819.743, 831.079, 851.792
697.67, 705.156, 725.197, 747.561, 764.543, 782.065, 804.045, 819.743, 831.079, 851.792, 866.902
705.156, 725.197, 747.561, 764.543, 782.065, 804.045, 819.743, 831.079, 851.792, 866.902, 883.618
725.197, 747.561, 764.543, 782.065, 804.045, 819.743, 831.079, 851.792, 866.902, 883.618, 895.404
747.561, 764.543, 782.065, 804.045, 819.743, 831.079, 851.792, 866.902, 883.618, 895.404, 909.776
764.543, 782.065, 804.045, 819.743, 831.079, 851.792, 866.902, 883.618, 895.404, 909.776, 926.52
782.065, 804.045, 819.743, 831.079, 851.792, 866.902, 883.618, 895.404, 909.776, 926.52, 945.596
804.045, 819.743, 831.079, 851.792, 866.902, 883.618, 895.404, 909.776, 926.52, 945.596, 959.366
819.743, 831.079, 851.792, 866.902, 883.618, 895.404, 909.776, 926.52, 945.596, 959.366, 972.318
831.079, 851.792, 866.902, 883.618, 895.404, 909.776, 926.52, 945.596, 959.366, 972.318, 983.57
851.792, 866.902, 883.618, 895.404, 909.776, 926.52, 945.596, 959.366, 972.318, 983.57, 980.764
866.902, 883.618, 895.404, 909.776, 926.52, 945.596, 959.366, 972.318, 983.57, 980.764, 983.968
883.618, 895.404, 909.776, 926.52, 945.596, 959.366, 972.318, 983.57, 980.764, 983.968, 979.46
895.404, 909.776, 926.52, 945.596, 959.366, 972.318, 983.57, 980.764, 983.968, 979.46, 973.417
909.776, 926.52, 945.596, 959.366, 972.318, 983.57, 980.764, 983.968, 979.46, 973.417, 967.807
926.52, 945.596, 959.366, 972.318, 983.57, 980.764, 983.968, 979.46, 973.417, 967.807, 960.219
945.596, 959.366, 972.318, 983.57, 980.764, 983.968, 979.46, 973.417, 967.807, 960.219, 951.621
959.366, 972.318, 983.57, 980.764, 983.968, 979.46, 973.417, 967.807, 960.219, 951.621, 945.877
972.318, 983.57, 980.764, 983.968, 979.46, 973.417, 967.807, 960.219, 951.621, 945.877, 935.865
983.57, 980.764, 983.968, 979.46, 973.417, 967.807, 960.219, 951.621, 945.877, 935.865, 925.521
980.764, 983.968, 979.46, 973.417, 967.807, 960.219, 951.621, 945.877, 935.865, 925.521, 915.51
983.968, 979.46, 973.417, 967.807, 960.219, 951.621, 945.877, 935.865, 925.521, 915.51, 896.88
979.46, 973.417, 967.807, 960.219, 951.621, 945.877, 935.865, 925.521, 915.51, 896.88, 884.413
973.417, 967.807, 960.219, 951.621, 945.877, 935.865, 925.521, 915.51, 896.88, 884.413, 873.888
967.807, 960.219, 951.621, 945.877, 935.865, 925.521, 915.51, 896.88, 884.413, 873.888, 858.967
960.219, 951.621, 945.877, 935.865, 925.521, 915.51, 896.88, 884.413, 873.888, 858.967, 840.489
951.621, 945.877, 935.865, 925.521, 915.51, 896.88, 884.413, 873.888, 858.967, 840.489, 826.359
945.877, 935.865, 925.521, 915.51, 896.88, 884.413, 873.888, 858.967, 840.489, 826.359, 818.461
935.865, 925.521, 915.51, 896.88, 884.413, 873.888, 858.967, 840.489, 826.359, 818.461, 813.515
925.521, 915.51, 896.88, 884.413, 873.888, 858.967, 840.489, 826.359, 818.461, 813.515, 809.261
915.51, 896.88, 884.413, 873.888, 858.967, 840.489, 826.359, 818.461, 813.515, 809.261, 810.777
896.88, 884.413, 873.888, 858.967, 840.489, 826.359, 818.461, 813.515, 809.261, 810.777, 816.624
884.413, 873.888, 858.967, 840.489, 826.359, 818.461, 813.515, 809.261, 810.777, 816.624, 820.236
873.888, 858.967, 840.489, 826.359, 818.461, 813.515, 809.261, 810.777, 816.624, 820.236, 816.364
858.967, 840.489, 826.359, 818.461, 813.515, 809.261, 810.777, 816.624, 820.236, 816.364, 819.275
840.489, 826.359, 818.461, 813.515, 809.261, 810.777, 816.624, 820.236, 816.364, 819.275, 825.564
826.359, 818.461, 813.515, 809.261, 810.777, 816.624, 820.236, 816.364, 819.275, 825.564, 833.75
818.461, 813.515, 809.261, 810.777, 816.624, 820.236, 816.364, 819.275, 825.564, 833.75, 830.9
813.515, 809.261, 810.777, 816.624, 820.236, 816.364, 819.275, 825.564, 833.75, 830.9, 833.057
809.261, 810.777, 816.624, 820.236, 816.364, 819.275, 825.564, 833.75, 830.9, 833.057, 836.652
810.777, 816.624, 820.236, 816.364, 819.275, 825.564, 833.75, 830.9, 833.057, 836.652, 832.658
816.624, 820.236, 816.364, 819.275, 825.564, 833.75, 830.9, 833.057, 836.652, 832.658, 829.174
820.236, 816.364, 819.275, 825.564, 833.75, 830.9, 833.057, 836.652, 832.658, 829.174, 827.234
816.364, 819.275, 825.564, 833.75, 830.9, 833.057, 836.652, 832.658, 829.174, 827.234, 836.752
819.275, 825.564, 833.75, 830.9, 833.057, 836.652, 832.658, 829.174, 827.234, 836.752, 844.716
825.564, 833.75, 830.9, 833.057, 836.652, 832.658, 829.174, 827.234, 836.752, 844.716, 845.785
833.75, 830.9, 833.057, 836.652, 832.658, 829.174, 827.234, 836.752, 844.716, 845.785, 844.098
830.9, 833.057, 836.652, 832.658, 829.174, 827.234, 836.752, 844.716, 845.785, 844.098, 847.09
833.057, 836.652, 832.658, 829.174, 827.234, 836.752, 844.716, 845.785, 844.098, 847.09, 848.457
836.652, 832.658, 829.174, 827.234, 836.752, 844.716, 845.785, 844.098, 847.09, 848.457, 849.281
832.658, 829.174, 827.234, 836.752, 844.716, 845.785, 844.098, 847.09, 848.457, 849.281, 845.623
829.174, 827.234, 836.752, 844.716, 845.785, 844.098, 847.09, 848.457, 849.281, 845.623, 843.131
827.234, 836.752, 844.716, 845.785, 844.098, 847.09, 848.457, 849.281, 845.623, 843.131, 843.574
836.752, 844.716, 845.785, 844.098, 847.09, 848.457, 849.281, 845.623, 843.131, 843.574, 841.603
844.716, 845.785, 844.098, 847.09, 848.457, 849.281, 845.623, 843.131, 843.574, 841.603, 847.268
845.785, 844.098, 847.09, 848.457, 849.281, 845.623, 843.131, 843.574, 841.603, 847.268, 858.957
844.098, 847.09, 848.457, 849.281, 845.623, 843.131, 843.574, 841.603, 847.268, 858.957, 869.964
847.09, 848.457, 849.281, 845.623, 843.131, 843.574, 841.603, 847.268, 858.957, 869.964, 878.539
