d0, d1, d2, d3, d4, d5, d6, d7, d8, d9, d10, d11, d12, d13, d14, d15, D.V.
-6.366241, 6.360657, -1.905152, 10.546631, -1.772614, 8.063385, -6.449127, 9.848847, -5.129089, 9.432129, 5.454254, 1.757782, -0.302185, 0.457581, 1.82312, 2.350433, 1418.74707069507
2.627411, 1.452393, 1.822663, -7.722412, 10.993683, -2.288757, 0.706574, -1.763428, -2.200897, 4.796051, 6.383484, -1.931092, 3.59375, 3.446014, -6.391754, -3.51709, 75.3238688522697
9.978974, 0.112945, 0.798554, 5.401337, -6.263427, 3.121338, -7.523834, 6.934174, -1.417602, -1.546509, 2.333343, 2.976075, 9.545502, 2.159668, -5.075653, -1.57074, 11019.4252335609
5.971894, -8.606659, -1.018249, -2.949036, 5.153595, -8.928772, 8.357879, -8.073791, 2.582367, 10.1586, -6.408783, 2.56546, -2.171264, 6.579254, -8.902161, -7.372772, 1526.50067316805
10.045867, -6.249206, 8.987732, -4.734253, 9.09851, -5.255218, 1.506287, 6.103607, 3.316803, -2.928193, -7.899262, 5.829529, -7.124694, -6.908234, 6.111389, 7.420837, 11309.522753932
8.796814, -5.951111, 8.088195, 9.991242, -7.418701, -3.267944, 1.732178, 10.263489, -3.540161, 2.759735, -6.53833, 0.666931, 4.273407, -6.509613, -2.396118, 7.060302, 6755.18648304066
10.97699, -3.442596, 4.211181, 7.079284, 8.76828, -6.970612, -5.497406, -0.890808, 3.841736, 0.195312, 0.930207, -0.117401, -6.232635, 7.974579, -4.129486, 1.702118, 15973.0147417269
10.494781, 7.952301, 2.940857, 0.287903, -1.018096, 9.039367, -0.059173, 9.250335, -3.550903, -0.24237, -2.581329, 8.187744, -0.742157, 5.150055, 10.862702, -2.590942, 13407.448815283
-8.585083, 10.315918, 1.517731, 0.281402, 4.700958, 2.570862, -5.173614, 0.202789, 5.424713, -6.767853, 1.495636, 2.199768, 9.801728, 9.028808, 6.18811, 2.150085, 4864.59465401323
-1.041687, -3.863251, -0.161499, -5.369659, 1.560455, 0.838929, 10.595093, -8.611328, -7.932282, 10.810517, 6.385986, 10.442352, -0.387848, -7.970948, 4.110626, 7.800446, 9.05455755978752E-02
4.502228, 7.309601, 3.456207, -1.188446, 2.351654, -2.535095, -2.661011, 0.136383, 1.833374, 8.090576, 1.970826, 6.345459, 6.058502, -4.02481, -1.449524, 0.141662, 526.907912311984
8.580048, -1.864563, 3.580017, 1.208099, -7.977967, 3.47641, -4.193634, 8.680542, 4.333313, -4.923462, -8.212494, 0.245208, -1.333618, -6.902008, 0.084014, -6.138549, 6133.33220719359
-5.118499, 9.321625, 1.075439, 0.109222, -4.324585, -1.692749, 5.401764, -2.838044, -0.664704, 10.178802, -2.970398, 9.384094, 1.117706, 10.034393, -3.05606, -4.446197, 573.370092271738
10.252533, -1.018402, -3.535797, 5.710541, 7.571747, 9.797516, 1.185943, 5.627808, 4.763428, 1.213958, -7.452972, 4.910798, -4.749359, 0.827607, 9.019165, 0.718964, 12242.1001654356
-8.304657, 7.635193, 0.924286, -6.88617, 6.127319, -0.806427, -4.124023, -1.968567, 10.697998, -8.595032, -8.154174, 1.880219, 0.059478, 9.927124, -2.145172, -0.236541, 4244.40498453668
0.368347, -5.791596, 4.289917, -2.672852, -2.085388, -4.852021, 10.845154, -3.767517, 10.375641, 10.380951, 0.088378, -3.74646, 2.694946, -7.811371, -5.347595, 5, 0.572412583853862
0.586304, 2.033508, -7.948456, -5.735169, 9.662445, 0.719574, 9.123016, 2.996796, 2.189117, -1.822663, 1.093292, 2.898194, -2.536102, -2.125915, 8.269501, -7.352386, 1.24976547510509
3.820099, -8.15094, 5.355926, -0.252594, -0.744232, 7.373443, 9.395355, 1.996491, -7.312469, 7.235748, -5.664612, -0.412109, 0.829438, 0.651734, 5.220062, -5.168487, 287.120770258385
10.696961, 7.799805, 0.006073, 9.501678, 8.735901, -1.019042, 2.00418, -0.190063, 9.576202, 2.404083, -6.054168, 1.002532, 0.41098, 9.596008, 6.674256, 5.583191, 14442.1962470773
1.000335, 7.436768, 8.461121, 2.160736, 2.300293, 4.819672, -1.052154, -2.078216, 10.716706, -4.063507, 6.711914, 9.728302, 2.984162, 3.187622, 6.458496, 1.840393, 4.00335112243799
5.669892, 1.717255, -1.16336, -2.736145, -3.697296, -7.426544, 0.880829, 4.72287, -3.873169, 9.493408, 0.07727, -0.74234, 4.480865, -7.686432, -1.944581, 0.447144, 1253.56444090473
-0.198364, 8.00476, -8.095672, -8.743408, 5.253204, -4.667664, 6.113952, 5.510315, -5.019287, 0.141449, -2.858246, 10.989258, 7.989197, -6.732971, 7.604004, -4.846344, -0.165272718159647
-0.352295, -1.930939, 7.092132, 3.490784, -2.181976, -2.407257, -5.385773, 8.487518, -1.391388, -8.646454, 10.661469, 2.228027, -2.246429, -0.252533, 0.899353, 5.616425, -0.256503457225005
-6.383423, 10.086212, 0.484314, -4.775543, -1.180359, -4.742829, -6.994996, 0.764069, 4.497131, 0.008789, -4.951264, -1.81482, 6.174652, 9.860627, -8.607086, 9.398224, 1434.65914961208
-7.727051, -1.361542, 1.82135, 6.621918, 3.236847, -5.365478, 10.565765, 8.355835, -0.710938, -5.607361, -1.627777, -5.021911, -6.190735, -3.881562, -1.807648, 3.968018, 3155.58250345331
-6.662232, 0.714325, -3.500031, -1.246246, -3.795349, -7.56015, 8.232361, 3.184967, 10.783539, 8.196747, 2.35672, -4.369476, 1.370544, 1.439117, 9.061554, 9.70105, 1712.07568532995
-1.311798, -8.291412, 5.57312, -7.403259, 1.014312, -2.205505, 3.596771, -6.920197, -5.064178, -8.481049, 8.383362, 1.072326, 0.727936, -0.852875, -8.579254, 5.878846, 1.11285643650174
-4.642243, -5.577698, 5.750061, -8.966065, -8.886689, 6.226074, 9.907288, 9.774964, -8.142456, 0.863465, 10.489471, -1.86026, 3.907013, 10.973206, 3.346283, -6.310882, 381.286495587834
-1.463928, 1.062713, 9.396301, -0.145355, 2.105438, 8.668396, -3.931488, 1.911347, 8.816468, 6.140686, -2.631287, 5.575165, -6.910279, -8.94571, 4.570862, -7.77414, 2.13464890245207
6.569122, -0.756623, 5.533508, -1.245544, 0.750733, 2.461548, 7.641174, 1.036041, -1.763306, 7.667206, -2.62912, 10.027313, -5.385864, 6.933625, 5.483398, 4.489319, 2195.41500934451
5.959076, 0.984009, -1.160339, -7.664856, -8.034637, 0.351868, 4.842377, 1.602417, -1.301483, -6.834015, 10.502136, -4.948945, -0.025329, 10.560608, -4.870972, -6.613983, 1514.08172118118
4.364441, 10.710694, 5.649048, 8.104797, -8.17807, 0.491974, 1.545349, -6.029907, 10.938569, 5.766144, -4.575226, 6.107635, 3.82193, 9.291015, -3.790772, 0.728668, 469.387621677669
1.599854, 6.255707, 3.952088, 10.477661, 0.549164, -3.559296, -8.720337, 10.404968, 5.84961, -3.996888, 2.457397, 10.564484, -7.037139, 0.886811, 9.081604, 10.236297, 14.8054739070235
-1.363678, -4.142456, 2.395569, 5.774353, 4.532043, 7.163086, 0.231079, 7.079132, -1.519257, 6.818512, 3.574921, -7.304748, -5.639465, 9.516144, 8.760102, 6.534119, 1.41819790292564
0.600983, -6.83902, 9.282409, 0.221679, -4.688141, 7.030517, -8.758301, -1.929017, 7.037292, 8.560242, 0.408386, 0.679871, 0.134369, -4.24646, 4.914887, -5.846375, 1.3096783480239
2.777283, 9.217041, 5.571869, 0.952637, 8.586121, 0.820557, 2.809754, -1.634918, 0.880829, 7.982453, -5.754792, 0.604523, -4.440002, 6.579712, 3.872376, -1.467438, 91.407613409357
2.604981, 1.483002, 9.879395, -1.993409, 8.208587, -0.282928, 8.089813, 1.852356, 8.529144, -4.754425, -0.97107, 3.46167, 0.069305, 1.381561, 8.615204, 4.014953, 73.1169071528512
6.679962, 0.822419, -7.523224, -1.670899, 1.18927, 7.310089, -0.10733, 6.329925, 8.656372, -1.08377, 6.359436, -2.850067, 9.250396, -8.047637, -5.217651, 1.851014, 2340.48767374332
