d0, d1, d2, d3, d4, d5, d6, d7, d8, d9, D.V.
19.6, 21.9, 22.9, 24.3, 25.6, 26.2, 25.4, 24.7, 24.1, 24.4, 22.6
21.9, 22.9, 24.3, 25.6, 26.2, 25.4, 24.7, 24.1, 24.4, 22.6, 19.8
22.9, 24.3, 25.6, 26.2, 25.4, 24.7, 24.1, 24.4, 22.6, 19.8, 18.5
24.3, 25.6, 26.2, 25.4, 24.7, 24.1, 24.4, 22.6, 19.8, 18.5, 17.7
25.6, 26.2, 25.4, 24.7, 24.1, 24.4, 22.6, 19.8, 18.5, 17.7, 17.7
26.2, 25.4, 24.7, 24.1, 24.4, 22.6, 19.8, 18.5, 17.7, 17.7, 17.3
25.4, 24.7, 24.1, 24.4, 22.6, 19.8, 18.5, 17.7, 17.7, 17.3, 17.2
24.7, 24.1, 24.4, 22.6, 19.8, 18.5, 17.7, 17.7, 17.3, 17.2, 16.6
24.1, 24.4, 22.6, 19.8, 18.5, 17.7, 17.7, 17.3, 17.2, 16.6, 16.5
24.4, 22.6, 19.8, 18.5, 17.7, 17.7, 17.3, 17.2, 16.6, 16.5, 16.6
22.6, 19.8, 18.5, 17.7, 17.7, 17.3, 17.2, 16.6, 16.5, 16.6, 17.1
19.8, 18.5, 17.7, 17.7, 17.3, 17.2, 16.6, 16.5, 16.6, 17.1, 17.6
18.5, 17.7, 17.7, 17.3, 17.2, 16.6, 16.5, 16.6, 17.1, 17.6, 19.1
17.7, 17.7, 17.3, 17.2, 16.6, 16.5, 16.6, 17.1, 17.6, 19.1, 19
17.7, 17.3, 17.2, 16.6, 16.5, 16.6, 17.1, 17.6, 19.1, 19, 18.1
17.3, 17.2, 16.6, 16.5, 16.6, 17.1, 17.6, 19.1, 19, 18.1, 18.5
17.2, 16.6, 16.5, 16.6, 17.1, 17.6, 19.1, 19, 18.1, 18.5, 19.2
16.6, 16.5, 16.6, 17.1, 17.6, 19.1, 19, 18.1, 18.5, 19.2, 19.4
16.5, 16.6, 17.1, 17.6, 19.1, 19, 18.1, 18.5, 19.2, 19.4, 19.6
16.6, 17.1, 17.6, 19.1, 19, 18.1, 18.5, 19.2, 19.4, 19.6, 20
17.1, 17.6, 19.1, 19, 18.1, 18.5, 19.2, 19.4, 19.6, 20, 20.2
17.6, 19.1, 19, 18.1, 18.5, 19.2, 19.4, 19.6, 20, 20.2, 21.2
19.1, 19, 18.1, 18.5, 19.2, 19.4, 19.6, 20, 20.2, 21.2, 21
19, 18.1, 18.5, 19.2, 19.4, 19.6, 20, 20.2, 21.2, 21, 22.4
18.1, 18.5, 19.2, 19.4, 19.6, 20, 20.2, 21.2, 21, 22.4, 25.1
18.5, 19.2, 19.4, 19.6, 20, 20.2, 21.2, 21, 22.4, 25.1, 26
19.2, 19.4, 19.6, 20, 20.2, 21.2, 21, 22.4, 25.1, 26, 26.3
19.4, 19.6, 20, 20.2, 21.2, 21, 22.4, 25.1, 26, 26.3, 27.7
19.6, 20, 20.2, 21.2, 21, 22.4, 25.1, 26, 26.3, 27.7, 28.1
20, 20.2, 21.2, 21, 22.4, 25.1, 26, 26.3, 27.7, 28.1, 28.3
20.2, 21.2, 21, 22.4, 25.1, 26, 26.3, 27.7, 28.1, 28.3, 29.8
21.2, 21, 22.4, 25.1, 26, 26.3, 27.7, 28.1, 28.3, 29.8, 31.4
21, 22.4, 25.1, 26, 26.3, 27.7, 28.1, 28.3, 29.8, 31.4, 31.1
22.4, 25.1, 26, 26.3, 27.7, 28.1, 28.3, 29.8, 31.4, 31.1, 30.1
25.1, 26, 26.3, 27.7, 28.1, 28.3, 29.8, 31.4, 31.1, 30.1, 28.2
26, 26.3, 27.7, 28.1, 28.3, 29.8, 31.4, 31.1, 30.1, 28.2, 26.8
26.3, 27.7, 28.1, 28.3, 29.8, 31.4, 31.1, 30.1, 28.2, 26.8, 26
27.7, 28.1, 28.3, 29.8, 31.4, 31.1, 30.1, 28.2, 26.8, 26, 24
28.1, 28.3, 29.8, 31.4, 31.1, 30.1, 28.2, 26.8, 26, 24, 24.8
28.3, 29.8, 31.4, 31.1, 30.1, 28.2, 26.8, 26, 24, 24.8, 23
29.8, 31.4, 31.1, 30.1, 28.2, 26.8, 26, 24, 24.8, 23, 20.9
31.4, 31.1, 30.1, 28.2, 26.8, 26, 24, 24.8, 23, 20.9, 19.2
31.1, 30.1, 28.2, 26.8, 26, 24, 24.8, 23, 20.9, 19.2, 18.9
30.1, 28.2, 26.8, 26, 24, 24.8, 23, 20.9, 19.2, 18.9, 18.7
28.2, 26.8, 26, 24, 24.8, 23, 20.9, 19.2, 18.9, 18.7, 18.5
26.8, 26, 24, 24.8, 23, 20.9, 19.2, 18.9, 18.7, 18.5, 18.3
26, 24, 24.8, 23, 20.9, 19.2, 18.9, 18.7, 18.5, 18.3, 18.6
24, 24.8, 23, 20.9, 19.2, 18.9, 18.7, 18.5, 18.3, 18.6, 19
24.8, 23, 20.9, 19.2, 18.9, 18.7, 18.5, 18.3, 18.6, 19, 17.2
23, 20.9, 19.2, 18.9, 18.7, 18.5, 18.3, 18.6, 19, 17.2, 19.2
20.9, 19.2, 18.9, 18.7, 18.5, 18.3, 18.6, 19, 17.2, 19.2, 20.4
19.2, 18.9, 18.7, 18.5, 18.3, 18.6, 19, 17.2, 19.2, 20.4, 21.1
18.9, 18.7, 18.5, 18.3, 18.6, 19, 17.2, 19.2, 20.4, 21.1, 21.6
18.7, 18.5, 18.3, 18.6, 19, 17.2, 19.2, 20.4, 21.1, 21.6, 22.1
18.5, 18.3, 18.6, 19, 17.2, 19.2, 20.4, 21.1, 21.6, 22.1, 21.7
18.3, 18.6, 19, 17.2, 19.2, 20.4, 21.1, 21.6, 22.1, 21.7, 22.3
18.6, 19, 17.2, 19.2, 20.4, 21.1, 21.6, 22.1, 21.7, 22.3, 22.2
19, 17.2, 19.2, 20.4, 21.1, 21.6, 22.1, 21.7, 22.3, 22.2, 22.8
17.2, 19.2, 20.4, 21.1, 21.6, 22.1, 21.7, 22.3, 22.2, 22.8, 22.8
19.2, 20.4, 21.1, 21.6, 22.1, 21.7, 22.3, 22.2, 22.8, 22.8, 21.6
20.4, 21.1, 21.6, 22.1, 21.7, 22.3, 22.2, 22.8, 22.8, 21.6, 20.4
21.1, 21.6, 22.1, 21.7, 22.3, 22.2, 22.8, 22.8, 21.6, 20.4, 19.3
21.6, 22.1, 21.7, 22.3, 22.2, 22.8, 22.8, 21.6, 20.4, 19.3, 18.4
22.1, 21.7, 22.3, 22.2, 22.8, 22.8, 21.6, 20.4, 19.3, 18.4, 17.4
21.7, 22.3, 22.2, 22.8, 22.8, 21.6, 20.4, 19.3, 18.4, 17.4, 17.3
22.3, 22.2, 22.8, 22.8, 21.6, 20.4, 19.3, 18.4, 17.4, 17.3, 16
22.2, 22.8, 22.8, 21.6, 20.4, 19.3, 18.4, 17.4, 17.3, 16, 15.4
22.8, 22.8, 21.6, 20.4, 19.3, 18.4, 17.4, 17.3, 16, 15.4, 13.5
22.8, 21.6, 20.4, 19.3, 18.4, 17.4, 17.3, 16, 15.4, 13.5, 13
21.6, 20.4, 19.3, 18.4, 17.4, 17.3, 16, 15.4, 13.5, 13, 12
